2023-01-05 14:27:48,527 INFO    MainThread:101 [wandb_setup.py:_flush():68] Configure stats pid to 101
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_setup.py:_flush():68] Loading settings from /Users/simonknudsen/.config/wandb/settings
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_setup.py:_flush():68] Loading settings from /Users/simonknudsen/Desktop/final_exercise/wandb/settings
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/Users/simonknudsen/Desktop/final_exercise/main.py'}
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:_log_setup():476] Logging user logs to /Users/simonknudsen/Desktop/final_exercise/wandb/run-20230105_142748-29jfgl16/logs/debug.log
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/simonknudsen/Desktop/final_exercise/wandb/run-20230105_142748-29jfgl16/logs/debug-internal.log
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:init():516] calling init triggers
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:init():569] starting backend
2023-01-05 14:27:48,528 INFO    MainThread:101 [wandb_init.py:init():573] setting up manager
2023-01-05 14:27:48,531 INFO    MainThread:101 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-05 14:27:48,541 INFO    MainThread:101 [wandb_init.py:init():580] backend started and connected
2023-01-05 14:27:48,544 INFO    MainThread:101 [wandb_init.py:init():658] updated telemetry
2023-01-05 14:27:48,545 INFO    MainThread:101 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-05 14:27:49,526 INFO    MainThread:101 [wandb_run.py:_on_init():2006] communicating current version
2023-01-05 14:27:49,622 INFO    MainThread:101 [wandb_run.py:_on_init():2010] got version response 
2023-01-05 14:27:49,623 INFO    MainThread:101 [wandb_init.py:init():728] starting run threads in backend
2023-01-05 14:27:54,653 INFO    MainThread:101 [wandb_run.py:_console_start():1986] atexit reg
2023-01-05 14:27:54,653 INFO    MainThread:101 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-05 14:27:54,653 INFO    MainThread:101 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-05 14:27:54,653 INFO    MainThread:101 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-05 14:27:54,654 INFO    MainThread:101 [wandb_init.py:init():765] run started, returning control to user process
2023-01-05 14:29:11,158 WARNING MsgRouterThr:101 [router.py:message_loop():77] message_loop has been closed
